parcela_id,idade,hdom
1,3,15.009
1,4,22.789
1,5,24.904
1,6,25.9
2,3,15.73
2,4,22.396
2,5,24.475
2,6,25.454
3,3,15.582
3,4,20.343
3,5,22.228
3,6,23.117
4,3,15.367
4,4,20.357
4,5,22.248
4,6,23.138
5,3,15.675
5,4,19.813
5,5,21.65
5,6,22.516
6,3,16.122
6,4,20.674
6,5,22.59
6,6,23.494
7,3,15.46
7,4,22.675
7,5,24.779
7,6,25.77
8,3,16.472
8,4,23.072
8,5,25.214
8,6,26.223
9,3,16.292
9,4,22.872
9,5,24.996
9,6,25.996
10,3,17.636
10,4,25.616
10,5,27.998
10,6,29.118
11,3,18.07
11,4,24.806
11,5,27.11
11,6,28.195
12,3,16.717
12,4,22.682
12,5,24.786
12,6,25.778
13,3,16.676
13,4,21.35
13,5,23.331
13,6,24.264
14,3,15.739
14,4,21.175
14,5,23.138
14,6,24.064
15,3,15.623
15,4,20.849
15,5,22.781
15,6,23.693
16,3,15.364
16,4,20.72
16,5,22.641
16,6,23.547
17,3,16.268
17,4,21.216
17,5,23.184
17,6,24.112
18,3,15.903
18,4,19.8
18,5,21.635
18,6,22.501
19,3,16.648
19,4,19.989
19,5,21.841
19,6,22.715
20,3,18.017
20,4,22.002
20,5,24.044
20,6,25.006
21,3,17.574
21,4,22.372
21,5,24.449
21,6,25.427
22,3,15.701
22,4,19.185
22,5,20.963
22,6,21.802
23,3,15.446
23,4,18.948
23,5,20.698
23,6,21.527
24,3,15.465
24,4,20.717
24,5,22.635
24,6,23.541
25,3,15.845
25,4,19.1
25,5,20.875
25,6,21.71
26,3,15.469
26,4,19.231
26,5,21.016
26,6,21.857
27,3,15.682
27,4,19.164
27,5,20.94
27,6,21.778
28,3,14.664
28,4,17.737
28,5,19.38
28,6,20.155
29,3,15.811
29,4,21.233
29,5,23.204
29,6,24.132
30,3,15.923
30,4,20.121
30,5,21.985
30,6,22.865
